Unnamed: 0,reviews
28,"
First, the packaging is mediocre at best. The unit comes in 7 pieces, each in a thin bubble-wrap sleeve and all set inside a box. Second, I really cannot tell if all of the pieces I received are new, or re-packaged, or if they just appear pre-owned because they were shipped from China in less-than-ideal conditions. Anyway, they were not pristine looking, nor were they obviously used. The headrest looked brand new, so I went ahead and assembled it.Assembly is very easy. The pieces only fit a certain way. It took 10, maybe 15 minutes tops. Once assembled the unit seems sturdy. I gave it a try and did not feel any wobbling and everything stayed together.Using it is very easy. I am short and I agree with other reviews that it is quite a stretch to get to that top bar. I found myself holding on to the sides, lower down on the pads. You have to adjust your sit up to get a good crunch, but after a few tries I figured it out and definitely felt it in my abs. Also, the crunch is a very small, controlled movement which is great. You have to remember to let the unit guide the movement and not try to force a full-on sit up or you will be disappointed.I had to shave off half a star for the head rest because it really could be more comfortable without costing more. It just needs a better design. The other half-star reduction is for the packaging and look of the individual parts; there really should not be a question of everything being new.For $22 I think it is a really good buy. It provides good form for the crunch, supports my head and does not strain my neck and really allows me to isolate the ab muscles. If it lasts a full year of regular use I would happily pay $22 again next year for a new one.
"
29,"
We had one years ago and decided to get another one. Already  seeing results after one week of consistent use. Recommend
"
30,"
Piece of junk!Poor build.Double screws in all areas except the top.Why not at the top too which is the pivot point for the entire device?One pic shows the ab roller on a perfectly flat level ceramic floor. The one side is almost 1/2‚?ù twisted higher than the left side.Assembly instructions a waste of time. How about stamping a letter or number on each part and showing on the instructions what fits what.One, of the two, longer hex bolt heads did not fit the enclosed hex key.The photo shows how most of the black foam is malformed.Look at reproducing the original (purple) ab roller. That was an incredible ab roller.Manufacturer should refund all my money plus something extra for the inconvenience.Would give a negative rating if it were possible.Shame on you!
"
31,"
Item came with stripped screws or stripped screw ports. Ultimately returned.
"
32,"
I used Denise Austin ab video in the 90's worked out faithfully EVERYDAY!  I started using this DAY ONE.  It has been a week and I can see a difference already.  I have lost INCHES...If this one brakes I will PURCHASE THIS ONE OR A STRONGER ONE.  I LOVE THIS FITNESS EQUIPMENT!!! Ladies this is AWESOME FOR THE LOWER ABS
"
33,"
I already own one of these that manufactured by someone else, but the instructions for the assembly along with the items are not labeled, nor the directions really tell you which side goes to what part is just almost impossible to figure out unless you just start putting it together and then figure out that it‚??s not working so Attempted to put it together and I‚??m a certified mechanic but it be time consuming I gave up I‚??m giving the crap the Goodwill or throwing it away, and I did find my original one in storage, this is a knock off version of the real one, and it is a piece of crap
"
34,"
Product works well
"
35,"
Muchas gracias
"
36,"
Usually I have my husband put together all of the items that come to our home that need assembling but this time I am proud to say I was able to do it all on my own the product was easy to assemble I did it in about 15 minutes max even without the instructions I was able to piece together by the picture exactly where to put what parts my husband waited in anticipation to see what this contraption was I have always used a ab trainer since I was a teenager and I was excited to get a new one it helps you keep good form  so that there‚??s no extra strain on your neck not to mention that based on where you grab the handles it goes from easier to harder depending on what your needs are I absolutely love the fact that there‚??s no more strain on my neck and I don‚??t have to question my form  as someone who works out all the time it‚??s generally hard to get my abs sore but with the proper form of this trainer I was able to achieve that. I‚??m officially addicted
"
37,"
A very inexpensive piece of equipment for any home gym. Great for crunch and side crunch exercises. Worth the investment!
"
38,"
First, the packaging is mediocre at best. The unit comes in 7 pieces, each in a thin bubble-wrap sleeve and all set inside a box. Second, I really cannot tell if all of the pieces I received are new, or re-packaged, or if they just appear pre-owned because they were shipped from China in less-than-ideal conditions. Anyway, they were not pristine looking, nor were they obviously used. The headrest looked brand new, so I went ahead and assembled it.Assembly is very easy. The pieces only fit a certain way. It took 10, maybe 15 minutes tops. Once assembled the unit seems sturdy. I gave it a try and did not feel any wobbling and everything stayed together.Using it is very easy. I am short and I agree with other reviews that it is quite a stretch to get to that top bar. I found myself holding on to the sides, lower down on the pads. You have to adjust your sit up to get a good crunch, but after a few tries I figured it out and definitely felt it in my abs. Also, the crunch is a very small, controlled movement which is great. You have to remember to let the unit guide the movement and not try to force a full-on sit up or you will be disappointed.I had to shave off half a star for the head rest because it really could be more comfortable without costing more. It just needs a better design. The other half-star reduction is for the packaging and look of the individual parts; there really should not be a question of everything being new.For $22 I think it is a really good buy. It provides good form for the crunch, supports my head and does not strain my neck and really allows me to isolate the ab muscles. If it lasts a full year of regular use I would happily pay $22 again next year for a new one.
"
39,"
We had one years ago and decided to get another one. Already  seeing results after one week of consistent use. Recommend
"
40,"
Piece of junk!Poor build.Double screws in all areas except the top.Why not at the top too which is the pivot point for the entire device?One pic shows the ab roller on a perfectly flat level ceramic floor. The one side is almost 1/2‚?ù twisted higher than the left side.Assembly instructions a waste of time. How about stamping a letter or number on each part and showing on the instructions what fits what.One, of the two, longer hex bolt heads did not fit the enclosed hex key.The photo shows how most of the black foam is malformed.Look at reproducing the original (purple) ab roller. That was an incredible ab roller.Manufacturer should refund all my money plus something extra for the inconvenience.Would give a negative rating if it were possible.Shame on you!
"
41,"
Item came with stripped screws or stripped screw ports. Ultimately returned.
"
42,"
I used Denise Austin ab video in the 90's worked out faithfully EVERYDAY!  I started using this DAY ONE.  It has been a week and I can see a difference already.  I have lost INCHES...If this one brakes I will PURCHASE THIS ONE OR A STRONGER ONE.  I LOVE THIS FITNESS EQUIPMENT!!! Ladies this is AWESOME FOR THE LOWER ABS
"
43,"
I already own one of these that manufactured by someone else, but the instructions for the assembly along with the items are not labeled, nor the directions really tell you which side goes to what part is just almost impossible to figure out unless you just start putting it together and then figure out that it‚??s not working so Attempted to put it together and I‚??m a certified mechanic but it be time consuming I gave up I‚??m giving the crap the Goodwill or throwing it away, and I did find my original one in storage, this is a knock off version of the real one, and it is a piece of crap
"
44,"
Product works well
"
45,"
Muchas gracias
"
46,"
I LOVE this bench it does almost everything I need it to do. I've had no problems with it and it was pretty easy to put together. It's very compact when you put it away and doesn't take a lot of space at all.BUT the leg extension leaves me a little worried. It works very well but the hinge on the leg extension has two grey plastic rings to help hold it in place and so the metal won't scrape together but it seems to be wearing down Everytime I use it. Also the padding on the feet area are a bit uncomfortable. I have to keep adjusting or i'd feel like I get blisters.The clip on the leg extensions hold the weights on there pretty good. Overall the machine holds up pretty well does what it needs to do and is pretty sturdy For the price I paid for it.... I'd say it's worth it.
"
47,"
I live. Full time in an RV and wanted a compact bench for a put away home gym. This bench is the center piece of that gym now. Tucks away great on the side of my bed and sets back up in 5 minutes or less. Light yet sturdy. Get better pads for the leg holds though, they‚??re pretty hard especially after heavy weights.
"
48,"
It would be perfect if the seat moved forward and backward but that would mean it would cost $500 plus!  My legs are too short at the thigh to reach my foot under the lift. I hate straddling the front of the seat just to reach my feet forward. This is really made for guys with those long legs or some really tall woman. That‚??s the only drawback. Oh yeah! If you find some small broken piece of plastic sin the package, it‚??s probably from the seat adjustment bar. Mine was cracked but the ball pulls out fine without it. It just makes it a little difficult not to break a mail pulling on it to get it moving to adjust the seat. Also I would add some was on the seat adjuster bar too. Run a candle cause I guess until you‚??ve used it enough to loosen it up, it‚??s kind of difficult like I said to move it.Otherwise, for the money, it‚??s built sturdy and is easy to assemble and I like that it‚??s not so heavy that I can‚??t move it when I need to. The rubber door helps a whole bunch so that it doesn‚??t move when exercising. It can hold some weight too cause I‚??m not a MISS sized woman. FULL BODIED works great with this thing too. ??ç
"
49,"




                    The media could not be loaded.
                



I absolutely love this bench. It arrived today and I was able to set it up in enough time for my virtual session with my trainer. The set up was very easy. However there is a section of the bench that I‚??m unable to fit the bolt in. Thankfully it‚??s a section that isn‚??t in dire need of the bolt and will allow the bench to function as it should without it. I‚??m a 5ft girl so doing leg extensions and leg curls was difficult for me. As I you around with my workouts I‚??m sure I‚??ll be able to figure it out so I can do leg curls and extensions with ease. All in all, very happy with my decision to purchase. There won‚??t be any regrets what‚??s so ever.
"
50,"
Although the product arrived as expected, and it was good for the price, and easy to assemble, we were very saddened one of the feature did not work well. I didn‚??t expect my 14 year old to get hurt. The quality of the pulley system was not as expected. He was using the pull resistant feature and it ripped off and popped him in the arm and injured him. So the feature can no longer be used. But the reaming ins still excellent. The company and seller read her out later after my review and offered me a full refund for the issue. I appreciated the professional response.
"
51,"
I‚??m a physical therapist and my son just wanted a simple exercise bench to use at home for overall strengthing but I bought him this instead. Great product and good price.  I chose this so he can also work on his legs especially his quads. I bought the weights separately, but this bench comes with 2 removable resistance bands and adjustable back rest. And it‚??s sturdy.
"
52,"
This weight bench is one of those items you get, realize the quality could be better, but decide to live with anyway because it's too bulky to return. That was fine, of course, until it outright broke and I ended up falling on my butt!First, let's talk about using the bench. It's functional for basic exercises like dumbbell bench presses. You can adjust the backrest angle for more support during exercises like dumbbell curls, and it'll work‚??just fine.However, the bench doesn't lay flat, parallel to the floor. Instead, it has a slight decline that can't be corrected by adjusting the backrest. You just have to accept that it's always going to be a little off, which is frustrating but manageable.Then there are the attachments: the leg press and preacher bench. The preacher attachment is practically useless‚??it's too narrow to use with a preacher curl/EZ curl bar. As for the leg press, it's actually painful. The shin pads offer little padding, making it uncomfortable. ""No pain, no gain""? This is the wrong kind of pain.Now, for the incident that really sealed the deal: this morning, during my last set of leg presses, the bench collapsed under me. The leg press weights slid forward, and the bench slid back, sending me to the floor. Luckily, I got my legs out quickly enough.After this experience, I came back to Amazon, hoping to get some money back for this sad excuse for an exercise bench, only to find that no options are available. So, I'm writing this review to warn others. Save yourself the hassle and avoid this bench.
"
53,"
Got it today and it was almost already assembled. I'm 240 lbs and it was solid under my weight. The padding on the bench was good. I'll be Chuck Norris camper in no time!
"
54,"
If your using this as a bench it's great it's held up both me 220 and my husband 300 for over a year of frequent use. However the leg piece was remove immediately due to how flimsy it is. If your adding light weight it's fine but anything over maybe 25 lbs I wouldn't. Since we can't use it to our full potential it was removed. Later the curl pad was removed as well because it's simply smaller than comfortable use demands. The bench itself pairs great with a smith machine or brench press bar.
"
55,"
Product arrived on time.
"
56,"
I LOVE this bench it does almost everything I need it to do. I've had no problems with it and it was pretty easy to put together. It's very compact when you put it away and doesn't take a lot of space at all.BUT the leg extension leaves me a little worried. It works very well but the hinge on the leg extension has two grey plastic rings to help hold it in place and so the metal won't scrape together but it seems to be wearing down Everytime I use it. Also the padding on the feet area are a bit uncomfortable. I have to keep adjusting or i'd feel like I get blisters.The clip on the leg extensions hold the weights on there pretty good. Overall the machine holds up pretty well does what it needs to do and is pretty sturdy For the price I paid for it.... I'd say it's worth it.
"
57,"
I live. Full time in an RV and wanted a compact bench for a put away home gym. This bench is the center piece of that gym now. Tucks away great on the side of my bed and sets back up in 5 minutes or less. Light yet sturdy. Get better pads for the leg holds though, they‚??re pretty hard especially after heavy weights.
"
58,"
It would be perfect if the seat moved forward and backward but that would mean it would cost $500 plus!  My legs are too short at the thigh to reach my foot under the lift. I hate straddling the front of the seat just to reach my feet forward. This is really made for guys with those long legs or some really tall woman. That‚??s the only drawback. Oh yeah! If you find some small broken piece of plastic sin the package, it‚??s probably from the seat adjustment bar. Mine was cracked but the ball pulls out fine without it. It just makes it a little difficult not to break a mail pulling on it to get it moving to adjust the seat. Also I would add some was on the seat adjuster bar too. Run a candle cause I guess until you‚??ve used it enough to loosen it up, it‚??s kind of difficult like I said to move it.Otherwise, for the money, it‚??s built sturdy and is easy to assemble and I like that it‚??s not so heavy that I can‚??t move it when I need to. The rubber door helps a whole bunch so that it doesn‚??t move when exercising. It can hold some weight too cause I‚??m not a MISS sized woman. FULL BODIED works great with this thing too. ??ç
"
59,"




                    The media could not be loaded.
                



I absolutely love this bench. It arrived today and I was able to set it up in enough time for my virtual session with my trainer. The set up was very easy. However there is a section of the bench that I‚??m unable to fit the bolt in. Thankfully it‚??s a section that isn‚??t in dire need of the bolt and will allow the bench to function as it should without it. I‚??m a 5ft girl so doing leg extensions and leg curls was difficult for me. As I you around with my workouts I‚??m sure I‚??ll be able to figure it out so I can do leg curls and extensions with ease. All in all, very happy with my decision to purchase. There won‚??t be any regrets what‚??s so ever.
"
60,"
Although the product arrived as expected, and it was good for the price, and easy to assemble, we were very saddened one of the feature did not work well. I didn‚??t expect my 14 year old to get hurt. The quality of the pulley system was not as expected. He was using the pull resistant feature and it ripped off and popped him in the arm and injured him. So the feature can no longer be used. But the reaming ins still excellent. The company and seller read her out later after my review and offered me a full refund for the issue. I appreciated the professional response.
"
61,"
I‚??m a physical therapist and my son just wanted a simple exercise bench to use at home for overall strengthing but I bought him this instead. Great product and good price.  I chose this so he can also work on his legs especially his quads. I bought the weights separately, but this bench comes with 2 removable resistance bands and adjustable back rest. And it‚??s sturdy.
"
62,"
This weight bench is one of those items you get, realize the quality could be better, but decide to live with anyway because it's too bulky to return. That was fine, of course, until it outright broke and I ended up falling on my butt!First, let's talk about using the bench. It's functional for basic exercises like dumbbell bench presses. You can adjust the backrest angle for more support during exercises like dumbbell curls, and it'll work‚??just fine.However, the bench doesn't lay flat, parallel to the floor. Instead, it has a slight decline that can't be corrected by adjusting the backrest. You just have to accept that it's always going to be a little off, which is frustrating but manageable.Then there are the attachments: the leg press and preacher bench. The preacher attachment is practically useless‚??it's too narrow to use with a preacher curl/EZ curl bar. As for the leg press, it's actually painful. The shin pads offer little padding, making it uncomfortable. ""No pain, no gain""? This is the wrong kind of pain.Now, for the incident that really sealed the deal: this morning, during my last set of leg presses, the bench collapsed under me. The leg press weights slid forward, and the bench slid back, sending me to the floor. Luckily, I got my legs out quickly enough.After this experience, I came back to Amazon, hoping to get some money back for this sad excuse for an exercise bench, only to find that no options are available. So, I'm writing this review to warn others. Save yourself the hassle and avoid this bench.
"
63,"
Got it today and it was almost already assembled. I'm 240 lbs and it was solid under my weight. The padding on the bench was good. I'll be Chuck Norris camper in no time!
"
64,"
If your using this as a bench it's great it's held up both me 220 and my husband 300 for over a year of frequent use. However the leg piece was remove immediately due to how flimsy it is. If your adding light weight it's fine but anything over maybe 25 lbs I wouldn't. Since we can't use it to our full potential it was removed. Later the curl pad was removed as well because it's simply smaller than comfortable use demands. The bench itself pairs great with a smith machine or brench press bar.
"
65,"
Product arrived on time.
"
66,"
wore everyday for 11 days and nothing felt yet. No energy, no happieness. The sleep band did help me sleep deeper. The sports bracelet....waste of money so far.
"
67,"
Ever since I have began doing yoga, I have desired  above all, the ability to do a handstand.  This eluded me for years.  I read about this product in a book, and thought I had to try one.It is incredible.  Easy to assemble and very solid.  The first time I tried it, I was able to do the elusive handstand!  I was concerned about stability, but that turned out to be for nothing.  The unit is very stable and secure feeling.  And I am 6'02"" and 225 lbs, have a bad back, two metal knees, and zero natural balance.  This take the weight off most people's weak point in this exercise...the wrists (like mine, both of which have zero cartilage left)!  This bench is very versatile and will increase the possibilities in your practice exponentially.  Try one!  You won't be sorry.
"
68,"
I love this product. It has really enhanced my yoga flow. It‚??s so much better than just using blocks. It adds extra stability to my practice. I also use it as a workout bench to do bridges, chest presses, planks, and various arm muscles exercises. It‚??s very stable and well made. YouTube has a growing number of yoga tutorials using it as well.
"
69,"
love this,surprisingly stable and effeciant
"
70,"
I previously bought and returned two cheaper benches which had missing parts, were scuffed and dinged from manufacture and didn't fit together at all. This Feetup bench is recommended by yoga journal for a reason; it is well manufactured (in Europe, apparently) and is way higher quality.The pieces are all perfectly machine-cut and the bolts are better quality than the cheaper versions, which are soft metal that was in danger of getting chewed up by the Allen wrench (so possibly weaker!!!) The Feetup bench also has rubber feet screwed into the bottom of the legs, the cheaper versions I purchased had stick-on felt pads or nothing at all. The Feetup bench is not going to slide!The Feetup bench comes with lots of literature, a big poster and a neat little cardboard phone/tablet stand that hooks onto the crossbeam so you can follow a yoga class on your phone. Not a deal breaker, but all the literature and nice packaging confirms that this is a high quality item, not just a jumble of parts dumped in a box in China, as my previous purchases most definitely were!Relieved to finally have the right yoga inversion bench.
"
71,"
I love this inversion table so much I bought one for my office.  I find that it makes my neck and back feel great after sitting long hours. I like to do crunches on it upside down, but I haven't tried the full range of exercises listed on the poster. I just use it for relaxation and enjoyment and to reduce fatigue from sitting. I cannot believe how sturdy it is. I can fall over backwards (sort of into a back bend) and it still doesn't tip or move from the ground. I highly recommend. Though it seems a little overpriced at $200, for the simple materials its made from, it is excellent quality.
"
72,"
I am rarely impressed but I‚??ve had this in my wish list for over a year! I couldn‚??t justify the price! I‚??m so glad I finally bought it. Packaged very thoughtfully with such care. It DOES matter, and it‚??s reassuring. They have a very nice little safety patent pending extra add on in the box! The safety guide and booklet itself was definitely helpful. The adjustable rubber feet are definitely more secure than just a little sticker at the bottom of the frame. I don‚??t think there is enough good things I can say. No comparison, worth the extra cost, it‚??s an investment in myself and my safety‚?¶I bought and returned the cheaper product, that sadly is competing with this one out of curiosity and fell for it. I didn‚??t even bother assemble it and returned it! It came in horrible packaging, I opened it and the frame sides were not the same. I wasn‚??t going to risk breaking my neck. The dimensions of the cushions and frame were off, it‚??s more of a seat than for balance, didn‚??t feel very safe. Don‚??t bother with it!
"
73,"
I use this every morning as part of my stretch. It's so easy to master compared to a regular head/handstand because it takes the pressure off.
"
74,"
Learnt about this product from a yoga instructor who I have been following for a few years on line.  I myself have been practising yoga (yoga movements) for a few years now.  I can do most of the poses however no matter how hard I tried to do headstand / tripod stand, I just could not do it.  I know I have the strength and I know my preparation warm up moves are all correct.  What I need is confidence.I made a big step today using FeetUp.  I could lift my feet off the ground and tucked my tummy in.  Still lots of tuning to do but I know I would not have been able to do what I did today without FeetUp.
"
75,"
This is one of the pricier headstand benches but, as others have noted, it‚??s worth it.  I really would not want to risk flimsiness in a product like this, first and foremost.  Also, I use it a lot and I don‚??t want something that would wear out quickly.They do package it very nicely, it comes with information material to make things more fruitful, and overall, it‚??s just a good product.  I am glad that I didn‚??t try to save a few dollars and go with the cheaper ones because this one is safe and sturdy, it looks great, and I‚??m sure I‚??ll be using it for years to come.
"
76,"
Easy to assemble. Firm on the floor. It is strong and very comfortable for the shoulders. Great for balance and core work.
"
